Instance,#cols,#rows,DXZ,Solutions,Max Blocks,|ZDD|,|DNNF|
grafo10918.98.txt,166,784,6.8605,32800655343228492718324656,,3339325,
grafo10919.97.txt,160,769,1.1180,4873808896014194882486512200,,659755,
grafo10926.99.txt,162,703,0.0276,401726519668839391778054937600,,31549,
grafo10928.100.txt,178,1222,,,,,
grafo10937.100.txt,158,733,0.0466,911068768064780693215657056000,,50746,
grafo10943.95.txt,154,712,0.5273,2232138619514732059255799808000,,339923,
grafo10945.98.txt,161,1093,0.1987,95891009417905168894140000,,153899,
grafo10950.97.txt,,,TO,,,,
grafo10952.96.txt,164,2080,,,,,
grafo10958.98.txt,,,TO,,,,
grafo10962.100.txt,172,16244,,,,,
grafo10970.100.txt,163,758,12.0710,2452216654253152270839934656,,5545773,
grafo10972.95.txt,157,968,,,,,
grafo10976.92.txt,163,1705,4.0998,10759048789277823376976496374364,,2084130,
grafo10998.100.txt,,,TO,,,,
grafo11000.99.txt,171,916,0.8971,1217725012095539482686059005177080,,502296,
grafo11001.97.txt,173,17819,384.6397,819800261949907201744130,,56427818,
grafo11003.100.txt,159,764,1.8820,3976499213449309516733400000,,1150146,
grafo11008.99.txt,163,967,,,,,
grafo11011.100.txt,161,861,0.1103,140688757390106390892469346304000,,105114,
grafo11014.100.txt,159,755,0.1340,102699410881895065529306726096461824,,111667,
grafo11015.98.txt,162,1360,,,,,
grafo11016.98.txt,161,1253,0.7034,7526571230364813338624640,,382447,
grafo11020.100.txt,164,823,0.4557,20444842677214024445820085111800000,,291906,
grafo11035.99.txt,165,816,0.1047,26848343803661264515276800,,67847,
grafo11037.99.txt,160,1011,,,,,
grafo11039.96.txt,154,597,1.1871,3389918511944201602117280,,681814,
grafo11044.95.txt,144,501,0.0666,1197912132516610056000,,68290,
grafo11047.92.txt,165,6604,31.3847,3337419642677518893838632,,10643691,
grafo11050.98.txt,158,745,2.9173,21793683158398046358023808,,1490146,
grafo11056.98.txt,163,965,0.1317,139448046035464528744346345472,,113098,
grafo11060.99.txt,160,823,0.3182,2221581091015208181652619592894,,260296,
grafo11067.98.txt,164,2449,,,,,
grafo11069.93.txt,156,810,0.5923,67197688711299492990806963592,,395534,
grafo11070.94.txt,159,864,0.9940,296672073926222386356749387200,,632845,
grafo11072.98.txt,179,10996,,,,,
grafo11073.100.txt,,,TO,,,,
grafo11076.97.txt,155,632,0.5401,3926107989980203149244661760,,333755,
grafo11088.97.txt,163,1237,0.6919,1042994082302208333696820608,,397244,
grafo11096.97.txt,162,840,0.8090,21190592381506159344503198702400000,,486937,
grafo11099.99.txt,170,7601,13.8932,6439051542810570694864560,,466066,
grafo11100.95.txt,157,3914,1.8085,1816713943740179220678036480,,128057,
grafo11101.95.txt,162,1800,1.1214,925307123039192848461312,,539976,
grafo11102.98.txt,156,541,1.1164,78159853560697776,,632734,
grafo11105.95.txt,166,1068,137.3654,2780296674205295074260982464,,48680601,
grafo11106.99.txt,158,810,40.1892,1800411021038422846042207200,,15611320,
grafo11110.99.txt,156,672,5.2265,3283286651372362772261412,,2342381,
grafo11112.96.txt,157,655,6.1555,32771123730815275251352,,2785248,
grafo11113.98.txt,153,577,0.1055,85282876610070364386506217600,,99459,
grafo11114.93.txt,158,813,1.4331,19671423926865926171894250009840,,816609,
grafo11115.92.txt,152,700,0.0168,457952153329344881847182400,,17198,
grafo11119.98.txt,161,863,8.4025,150210477107262608643759962520,,3772154,
grafo11125.100.txt,182,5898,,,,,
grafo11140.98.txt,147,542,0.0229,12949719097651467435583488000,,28834,
grafo11142.99.txt,164,721,1.5253,1972018462517902463407831693363500,,948101,
grafo11143.98.txt,156,563,0.0157,21006525537883519741138348800,,19107,
grafo11144.92.txt,151,722,1.3334,69290953858013626760601600,,775398,
grafo11145.99.txt,169,1166,80.2462,3904075666400657420505356269200,,31069252,
grafo11148.99.txt,155,977,30.0216,26041679542542839147028086778990,,12673967,
grafo11149.100.txt,,,TO,,,,
grafo11157.100.txt,158,1598,0.2975,2255220706960252460009775340800,,155197,
grafo11162.100.txt,,,TO,,,,
grafo11176.100.txt,,,TO,,,,
grafo11178.95.txt,160,5187,,,,,
grafo11181.95.txt,154,745,0.0349,204303551180648012431583604480,,35287,
grafo11198.98.txt,,,TO,,,,
grafo11201.99.txt,165,885,0.5553,1147022433334993234582136574000,,358405,
grafo11204.99.txt,168,15158,292.9560,1037585478589383537474297555050496,,22570736,
grafo11218.99.txt,166,1389,131.5559,981635956672355579867872,,47260202,
grafo11223.99.txt,146,568,0.1493,2360818719012081418650711306540,,125971,
grafo11227.100.txt,165,734,34.5177,2716222021368095055961356,,13735910,
grafo11250.99.txt,163,1007,4.8216,8943369351173193428801634077653824,,2582453,
grafo11251.93.txt,151,807,0.8907,4809787111811592399184022526528,,532738,
grafo11254.99.txt,154,1002,34.4337,30139933607670659519208917,,14988019,
grafo11271.99.txt,171,1500,1.2016,109664252023274371019546173840,,617724,
grafo11280.99.txt,165,1092,,,,,
grafo11313.96.txt,154,696,0.4570,7003276840515664560,,317351,
grafo11324.100.txt,171,1233,20.2831,560762936054585686545359847137280,,9502963,
grafo11335.100.txt,162,778,0.0427,61471332725994635285503002432000,,38667,
grafo11369.96.txt,163,13682,78.1321,153539326015556204155835928,,1948143,
grafo11458.100.txt,160,945,1.1518,32929161513245347400780796768,,673634,
grafo11469.96.txt,159,749,0.8004,165728243199277045297920000,,531284,
grafo11546.97.txt,160,797,2.3163,75444469155251576685056404800,,1354898,
grafo11569.93.txt,155,990,0.5431,4844612865840488301571200,,328948,
grafo3224.98.txt,174,16247,,,,,
grafo3435.99.txt,167,2102,29.3304,652148909686816992359740704787200,,12288845,
grafo3532.99.txt,161,760,1.3869,28327450894599629841700806720,,721137,
grafo3680.99.txt,168,1206,0.7670,2149519026657629741871667680000,,446154,
grafo3712.95.txt,149,644,0.9390,5258623445171291339393040,,596138,
grafo3861.99.txt,153,726,0.0696,16121448104607716575683640617648,,77431,
grafo3890.96.txt,167,832,0.1554,8944113065325995850718418621147520,,122449,
grafo3898.99.txt,170,2091,33.1305,45437873358633560365761463774392,,13180801,
grafo3979.98.txt,166,896,0.2928,423904573438761629195520,,228998,
grafo3995.97.txt,158,1160,4.1198,5931079411688134563895113711652704,,2318323,
grafo4091.99.txt,167,1879,112.3159,32508411001187872774766972275200,,41066468,
grafo6562.98.txt,162,722,0.1192,236273893424318395676761226496,,105870,
grafo6625.99.txt,156,672,22.3487,1337162431238315740370880,,9094320,
grafo6975.39.txt,174,1113,2.3404,316054474902798260244705061700000,,1281123,
grafo7221.99.txt,152,644,0.0139,1525888907338681754882536320000,,18208,
grafo7263.99.txt,162,1775,35.2078,4898478554522651343933226448,,12971054,
grafo7417.39.txt,161,700,0.0116,413427890976458123248101187541280000,,17194,
grafo7785.100.txt,163,819,0.0468,557646274243607696621728263360,,47597,
grafo7797.100.txt,167,2533,0.6293,18087494243875214914061634240,,158191,
grafo7907.80.txt,134,720,8.0317,56046180799444257029836800,,4240430,
grafo7936.89.txt,,,TO,,,,
grafo8008.95.txt,161,1051,14.6952,2836630049700547381881600,,6020834,
grafo8127.78.txt,126,537,0.0507,66208157321355098849280,,52510,
grafo8198.99.txt,161,718,1.7807,649388601659380264242499152000,,1016538,
grafo8223.99.txt,151,647,0.0269,334422330310025516401710173429760,,32205,
