SharpSAT-TD求解器实验结果
文件名,运行时间(秒),模型计数
grafo3233.79,31.578832495,700
grafo3238.88,63.496990615,500000
grafo3239.89,214.91330837,406250
grafo3242.99,228.689170592,593750
grafo3243.98,208.059059432,421875
grafo3245.83,314.489851907,311328125
grafo3246.16,109.624351313,18200
grafo324.97,208.823508792,523900
grafo3250.54,114.832981411,18850
grafo3255.100,147.578307934,43186500
grafo3264.27,310.580960052,388483175
grafo3276.26,242.885369337,18115020000
grafo3278.93,60.529742562,675
grafo3280.78,68.795415693,17500
grafo3285.92,120.247136803,421875
grafo328.74,218.97504004,186975
grafo331.100,258.856956899,51386400
grafo3319.36,205.133117684,546650
grafo3321.26,246.953869206,438750
grafo332.61,123.074511347,453125
grafo3326.26,158.513128752,625
grafo3328.60,314.661238284,10002771437109750
grafo3332.100,113.05307902,16900
grafo3341.97,197.736340619,16875
grafo3343.84,327.47510727,269794200000
grafo3349.59,359.83743778,127069320000
grafo3352.57,182.427668362,24300
grafo3357.79,222.746516548,487500
grafo3358.82,192.19209393,15625
grafo3361.72,55.159910333,15625
grafo3362.86,57.323269649,21875
grafo3363.57,77.79664362299999,625
grafo3366.68,248.625979734,76853712
grafo3368.97,291.878306083,25043850
grafo3369.90,179.582157241,1629887
grafo3371.34,242.787543199,598953687500
grafo3379.72,101.854855582,132300
grafo3381.31,197.908178424,15625
grafo3383.53,109.879596142,4960
grafo3388.42,237.059525241,1113359375
grafo3389.41,186.904345804,97973971460
grafo3392.17,141.889562307,18522
grafo3395.72,116.007199919,11793600
grafo3402.64,208.25613672,471250
grafo3403.74,286.627741775,25070947200
grafo341.20,84.703155972,406250
grafo3421.63,59.831126547,625
grafo3426.94,190.571609089,24650
grafo3433.81,234.301207158,6564953125
grafo343.47,138.533869232,21762
grafo3435.56,128.2261292,1900
grafo3446.27,224.045541829,151027500
grafo3449.17,112.978545008,36875
grafo3454.54,61.317492312,625
grafo3461.50,34.565617738,650
grafo3462.68,286.372841498,51171875
grafo3465.85,241.255849657,321284292000
grafo348.100,47.939286684,650
grafo3482.47,205.643552194,17550
grafo3485.21,54.546382876,625
grafo3488.92,192.746846257,648660000
grafo3494.84,290.239531726,14014000
grafo3503.32,218.340933097,18200
grafo3504.21,310.402046524,1069828125
grafo3506.30,119.786294578,64210000
grafo3512.59,197.881923394,471250
grafo351.43,203.259735425,260793455000
grafo3523.38,235.625722376,507500
grafo3525.35,243.90253219,4923200
grafo3530.32,365.075521484,443753268750
grafo3532.40,246.891278365,161038800
grafo3541.83,268.021669874,624867750
grafo3543.29,304.388754194,3449550
grafo3550.59,190.705531795,406250
